Var	-LOG([Fdr (Pdat Gx)])	Model	Value	-LOG([Fdr (Pdat Gx)])	Model	Value	Var
KRTAP11-1	0.007532958	Bulk (unadjusted)	-0.024417804	0.068104894	Cell contribution (adjusted)	0.213117549	KRTAP11-1
KRTAP10-11	0.010897849	Bulk (unadjusted)	0.08847523	0.150512154	Cell contribution (adjusted)	-0.399199926	KRTAP10-11
KRTAP9-9	0.145448356	Bulk (unadjusted)	-0.292611052	0.071288995	Cell contribution (adjusted)	-0.168375006	KRTAP9-9
KRTAP9-6	0.047913591	Bulk (unadjusted)	-0.095289721	0.20346692	Cell contribution (adjusted)	-0.246835967	KRTAP9-6
KRTAP9-4	0.019123133	Bulk (unadjusted)	-0.103111347	0.015191476	Cell contribution (adjusted)	-0.05667742	KRTAP9-4
KRTAP9-3	0.014198257	Bulk (unadjusted)	-0.04750794	0.098667436	Cell contribution (adjusted)	-0.187949636	KRTAP9-3
KRTAP8-1	0.051862506	Bulk (unadjusted)	0.145424179	0.645230798	Cell contribution (adjusted)	-0.72029489	KRTAP8-1
KRTAP7-1	0.008617338	Bulk (unadjusted)	-0.073329997	0.288816919	Cell contribution (adjusted)	-0.596229662	KRTAP7-1
KRTAP5-11	0.887031609	Bulk (unadjusted)	-0.654883258	0.492616333	Cell contribution (adjusted)	-0.446196869	KRTAP5-11
KRTAP5-9	0.210116612	Bulk (unadjusted)	-0.395332971	0.403116267	Cell contribution (adjusted)	-0.366115341	KRTAP5-9
KRTAP5-8	2.934992832	Bulk (unadjusted)	-1.275532136	1.858265799	Cell contribution (adjusted)	-0.977984243	KRTAP5-8
KRTAP5-7	2.671666242	Bulk (unadjusted)	-1.208359918	1.291247649	Cell contribution (adjusted)	-0.794862012	KRTAP5-7
KRTAP4-12	0.030646532	Bulk (unadjusted)	0.088776728	0.026163634	Cell contribution (adjusted)	0.060400181	KRTAP4-12
KRTAP4-11	0.269140089	Bulk (unadjusted)	-0.513455658	0.455665199	Cell contribution (adjusted)	-0.569458817	KRTAP4-11
KRTAP4-9	0.038660658	Bulk (unadjusted)	-0.168821503	0.133532249	Cell contribution (adjusted)	0.7063374	KRTAP4-9
KRTAP4-8	0.094666247	Bulk (unadjusted)	-0.213133583	0.480700834	Cell contribution (adjusted)	-1.362294072	KRTAP4-8
KRTAP4-7	0.025399988	Bulk (unadjusted)	-0.075696577	0.026240637	Cell contribution (adjusted)	-0.060646971	KRTAP4-7
KRTAP4-6	0.053592174	Bulk (unadjusted)	0.331880278	0.105523717	Cell contribution (adjusted)	0.502942243	KRTAP4-6
KRTAP4-5	0.007585665	Bulk (unadjusted)	0.029003417	0.58423806	Cell contribution (adjusted)	-0.667563081	KRTAP4-5
KRTAP4-4	0.052341408	Bulk (unadjusted)	0.136545446	0.103361055	Cell contribution (adjusted)	-0.194893853	KRTAP4-4
KRTAP4-3	0.028069928	Bulk (unadjusted)	-0.123661394	0.057612689	Cell contribution (adjusted)	0.312426736	KRTAP4-3
KRTAP4-2	0.019751682	Bulk (unadjusted)	0.059565007	0.173592978	Cell contribution (adjusted)	-0.827075623	KRTAP4-2
KRTAP4-1	0.177803599	Bulk (unadjusted)	-0.349084011	0.168273591	Cell contribution (adjusted)	-0.285118329	KRTAP4-1
KRTAP3-3	0.545817301	Bulk (unadjusted)	-0.670557613	0.253332374	Cell contribution (adjusted)	-0.529335788	KRTAP3-3
KRTAP3-2	0.006966073	Bulk (unadjusted)	-0.057195372	0.6775244	Cell contribution (adjusted)	-0.730509528	KRTAP3-2
KRTAP3-1	0.101634644	Bulk (unadjusted)	-0.134498165	0.340607579	Cell contribution (adjusted)	-0.560385066	KRTAP3-1
KRTAP2-4	0.006120161	Bulk (unadjusted)	-0.020384761	0.004806908	Cell contribution (adjusted)	-0.011273222	KRTAP2-4
KRTAP2-3	0.000163507	Bulk (unadjusted)	0.000761304	0.332954174	Cell contribution (adjusted)	-0.462511272	KRTAP2-3
KRTAP2-2	0.054155265	Bulk (unadjusted)	0.139479698	0.01597063	Cell contribution (adjusted)	-0.037564753	KRTAP2-2
KRTAP2-1	0.113986453	Bulk (unadjusted)	0.243834137	0.06423951	Cell contribution (adjusted)	-0.133295544	KRTAP2-1
KRTAP1-5	0.123940531	Bulk (unadjusted)	-0.439645668	0.319340967	Cell contribution (adjusted)	-0.597933734	KRTAP1-5
KRTAP1-3	0.136389563	Bulk (unadjusted)	-0.279356935	0.440971012	Cell contribution (adjusted)	-0.558358197	KRTAP1-3
KRTAP1-1	0.080244889	Bulk (unadjusted)	-0.188039676	0.068410267	Cell contribution (adjusted)	-0.14042603	KRTAP1-1
KRT222	0.390781949	Bulk (unadjusted)	-0.744313788	0.087652974	Cell contribution (adjusted)	-0.191171143	KRT222
KRT86	0.365010309	Bulk (unadjusted)	0.314780109	0.033440017	Cell contribution (adjusted)	0.046299737	KRT86
KRT85	0.013717488	Bulk (unadjusted)	0.027914834	0.136165792	Cell contribution (adjusted)	-0.196822719	KRT85
KRT84	0.078531667	Bulk (unadjusted)	0.185782932	0.301679222	Cell contribution (adjusted)	-0.438780594	KRT84
KRT83	0.058818905	Bulk (unadjusted)	-0.16133461	0.677295757	Cell contribution (adjusted)	-1.643435078	KRT83
KRT82	0.232876486	Bulk (unadjusted)	0.461487285	0.090416627	Cell contribution (adjusted)	0.175967769	KRT82
KRT81	0.008870935	Bulk (unadjusted)	0.028998072	0.362898465	Cell contribution (adjusted)	-0.494362838	KRT81
KRT80	0.15675071	Bulk (unadjusted)	-0.325899577	0.072657605	Cell contribution (adjusted)	-0.139187993	KRT80
KRT79	0.082861647	Bulk (unadjusted)	0.372269047	0.386334209	Cell contribution (adjusted)	-0.510137894	KRT79
KRT78	0.503614123	Bulk (unadjusted)	0.378312649	0.407031092	Cell contribution (adjusted)	0.314632443	KRT78
KRT77	0.047783716	Bulk (unadjusted)	-0.170365064	0.073102784	Cell contribution (adjusted)	-0.197391389	KRT77
KRT76	0.00780805	Bulk (unadjusted)	-0.036851722	0.198497671	Cell contribution (adjusted)	-0.32568945	KRT76
KRT75	0.188282133	Bulk (unadjusted)	0.30741267	0.073102784	Cell contribution (adjusted)	0.155634755	KRT75
KRT74	0.089489422	Bulk (unadjusted)	-0.306959757	0.414980504	Cell contribution (adjusted)	-0.598281007	KRT74
KRT73	0.467170441	Bulk (unadjusted)	0.363453938	0.135767331	Cell contribution (adjusted)	0.148595441	KRT73
KRT72	0.032329081	Bulk (unadjusted)	0.092722781	0.1795312	Cell contribution (adjusted)	-0.299669407	KRT72
KRT71	0.076471696	Bulk (unadjusted)	-0.180820488	0.135120573	Cell contribution (adjusted)	0.242084598	KRT71
KRT40	0.081046236	Bulk (unadjusted)	-0.130992828	0.320657187	Cell contribution (adjusted)	-0.271306645	KRT40
KRT38	0.111143825	Bulk (unadjusted)	0.40957586	0.193093281	Cell contribution (adjusted)	-0.314747555	KRT38
KRT37	1.400017182	Bulk (unadjusted)	-1.160859353	0.223275332	Cell contribution (adjusted)	-0.615520345	KRT37
KRT36	0.095935676	Bulk (unadjusted)	0.215766252	0.120997238	Cell contribution (adjusted)	-0.220822609	KRT36
KRT35	0.435043829	Bulk (unadjusted)	-0.585309439	0.595838834	Cell contribution (adjusted)	-0.679475911	KRT35
KRT34	0.003498393	Bulk (unadjusted)	-0.013962115	0.112509415	Cell contribution (adjusted)	-0.207461788	KRT34
KRT33B	0.162382538	Bulk (unadjusted)	0.760770353	0.001212065	Cell contribution (adjusted)	0.003067317	KRT33B
KRT32	0.246817979	Bulk (unadjusted)	-0.622192328	1.761322756	Cell contribution (adjusted)	-1.338299637	KRT32
KRT31	0.264205282	Bulk (unadjusted)	-0.258464859	0.610677895	Cell contribution (adjusted)	-0.798942497	KRT31
KRT27	0.412059741	Bulk (unadjusted)	-0.33839302	0.065000676	Cell contribution (adjusted)	-0.084082349	KRT27
KRT26	2.619782901	Bulk (unadjusted)	-1.194969348	1.495734108	Cell contribution (adjusted)	-0.864452108	KRT26
KRT25	0.768772721	Bulk (unadjusted)	-0.938625097	0.356234798	Cell contribution (adjusted)	-0.733565149	KRT25
KRT24	0.366143713	Bulk (unadjusted)	-0.315489516	0.038756237	Cell contribution (adjusted)	0.052932676	KRT24
KRT23	0.467170441	Bulk (unadjusted)	0.537103584	0.019724372	Cell contribution (adjusted)	0.063839489	KRT23
KRT20	0.262995332	Bulk (unadjusted)	-0.258853864	0.22011096	Cell contribution (adjusted)	-0.207949386	KRT20
KRT19	0.041378827	Bulk (unadjusted)	0.068712415	0.014495544	Cell contribution (adjusted)	0.025642135	KRT19
KRT18	0.042382243	Bulk (unadjusted)	0.087721324	0.03112974	Cell contribution (adjusted)	0.053874075	KRT18
KRT17	0.872795091	Bulk (unadjusted)	0.516426117	0.04376513	Cell contribution (adjusted)	-0.128691549	KRT17
KRT16	0.290703102	Bulk (unadjusted)	0.274205195	0.069954159	Cell contribution (adjusted)	-0.137928635	KRT16
KRT15	0.119818362	Bulk (unadjusted)	-0.152685593	0.586230503	Cell contribution (adjusted)	-0.792068572	KRT15
KRT14	0.255108447	Bulk (unadjusted)	0.253387969	0.031466945	Cell contribution (adjusted)	-0.07275469	KRT14
KRT13	0.203373864	Bulk (unadjusted)	-0.364270309	0.870776072	Cell contribution (adjusted)	-0.866013742	KRT13
KRT12	0.312990247	Bulk (unadjusted)	0.483364766	0.047871828	Cell contribution (adjusted)	0.104343691	KRT12
KRT10	0.250404329	Bulk (unadjusted)	0.316385379	1.624170595	Cell contribution (adjusted)	0.724700038	KRT10
KRT9	0.003341357	Bulk (unadjusted)	0.011754015	0.254353867	Cell contribution (adjusted)	-0.483253651	KRT9
KRT8	0.979023516	Bulk (unadjusted)	-0.692641421	0.30657128	Cell contribution (adjusted)	-0.32894979	KRT8
KRT7	0.112830234	Bulk (unadjusted)	-0.145594219	0.199046971	Cell contribution (adjusted)	-0.49479641	KRT7
KRT6C	0.078871397	Bulk (unadjusted)	-0.18554455	0.077123305	Cell contribution (adjusted)	-0.15390814	KRT6C
KRT6B	0.074764962	Bulk (unadjusted)	0.179354925	0.020389136	Cell contribution (adjusted)	-0.04727005	KRT6B
KRT6A	0.776705375	Bulk (unadjusted)	0.482915918	0.106398906	Cell contribution (adjusted)	0.152265582	KRT6A
KRT5	0.162402838	Bulk (unadjusted)	0.281952832	0.104430817	Cell contribution (adjusted)	-0.246820228	KRT5
KRT4	0.050016795	Bulk (unadjusted)	-0.130488106	0.202414175	Cell contribution (adjusted)	-0.326781445	KRT4
KRT3	0.247643171	Bulk (unadjusted)	-0.413513944	0.799079759	Cell contribution (adjusted)	-1.566942664	KRT3
KRT2	0.002376754	Bulk (unadjusted)	0.014708694	0.007137519	Cell contribution (adjusted)	0.031602904	KRT2
KRT1	0.493430332	Bulk (unadjusted)	0.375336417	0.059140766	Cell contribution (adjusted)	-0.159575086	KRT1
KRR1	0.058258343	Bulk (unadjusted)	-0.37539754	0.027897594	Cell contribution (adjusted)	0.127292931	KRR1
KRIT1	0.003341357	Bulk (unadjusted)	-0.0161731	0.269292169	Cell contribution (adjusted)	0.631903737	KRIT1
KRI1	0.021334126	Bulk (unadjusted)	-0.116538018	0.364223362	Cell contribution (adjusted)	-0.911643221	KRI1
KREMEN2	0.031880744	Bulk (unadjusted)	-0.054892816	0.574386268	Cell contribution (adjusted)	-0.585469957	KREMEN2
KREMEN1	0.968640495	Bulk (unadjusted)	-0.755403995	2.153675555	Cell contribution (adjusted)	-0.842125019	KREMEN1
KRCC1	0.159112704	Bulk (unadjusted)	0.291657257	1.512102931	Cell contribution (adjusted)	1.074679879	KRCC1
KRBOX4	1.190184278	Bulk (unadjusted)	-0.774458813	0.733064737	Cell contribution (adjusted)	-0.556016823	KRBOX4
KRBOX1	0.442848607	Bulk (unadjusted)	-0.970032725	0.118348237	Cell contribution (adjusted)	-0.276499908	KRBOX1
KRBA2	0.103302159	Bulk (unadjusted)	-0.461771707	0.774412102	Cell contribution (adjusted)	-0.854850952	KRBA2
KRBA1	0.014295309	Bulk (unadjusted)	-0.102217441	0.84769711	Cell contribution (adjusted)	-0.793219367	KRBA1
KRAS	0.164601552	Bulk (unadjusted)	0.493810551	0.328701124	Cell contribution (adjusted)	0.765706981	KRAS
KPTN	0.090949518	Bulk (unadjusted)	0.449073094	0.106590451	Cell contribution (adjusted)	-0.369196039	KPTN
KPRP	0.383194225	Bulk (unadjusted)	0.40620313	0.29621298	Cell contribution (adjusted)	0.320610513	KPRP
KPNB1	0.597147925	Bulk (unadjusted)	0.49717851	0.100843633	Cell contribution (adjusted)	-0.187042284	KPNB1
KPNA6	0.714333947	Bulk (unadjusted)	0.461945375	0.01807314	Cell contribution (adjusted)	0.064831848	KPNA6
KPNA5	0.878728013	Bulk (unadjusted)	-1.096048785	0.45593328	Cell contribution (adjusted)	-0.416894901	KPNA5
KPNA4	0.197567247	Bulk (unadjusted)	-0.728609267	0.012047388	Cell contribution (adjusted)	0.032244266	KPNA4
KPNA3	0.510745854	Bulk (unadjusted)	0.428272103	0.534613086	Cell contribution (adjusted)	0.374335404	KPNA3
KPNA2	1.630098697	Bulk (unadjusted)	1.383819172	1.085989224	Cell contribution (adjusted)	1.717972352	KPNA2
KPNA1	0.029567937	Bulk (unadjusted)	0.052100701	0.366387111	Cell contribution (adjusted)	0.294172363	KPNA1
KNTC1	3.902646342	Bulk (unadjusted)	1.181476154	1.858116911	Cell contribution (adjusted)	0.779584825	KNTC1
KNSTRN	1.189589411	Bulk (unadjusted)	0.916503594	0.434981182	Cell contribution (adjusted)	0.437052594	KNSTRN
KNOP1	0.502431772	Bulk (unadjusted)	-0.387376335	1.135945591	Cell contribution (adjusted)	-0.588609394	KNOP1
KNL1	1.257124011	Bulk (unadjusted)	1.019316923	0.239363562	Cell contribution (adjusted)	0.528709641	KNL1
KNG1	0.110198133	Bulk (unadjusted)	-0.142502926	0.604902965	Cell contribution (adjusted)	-0.405114975	KNG1
KNDC1	0.188460828	Bulk (unadjusted)	-0.208209705	0.61603859	Cell contribution (adjusted)	-0.411970315	KNDC1
KNCN	0.021370741	Bulk (unadjusted)	-0.135957046	0.977410591	Cell contribution (adjusted)	-0.921292655	KNCN
KMT5C	0.242854401	Bulk (unadjusted)	-0.499674991	3.414882171	Cell contribution (adjusted)	-1.105093153	KMT5C
KMT5B	0.100882337	Bulk (unadjusted)	-0.13373045	0.295106375	Cell contribution (adjusted)	0.410435554	KMT5B
KMT5A	1.812670495	Bulk (unadjusted)	-0.769122138	3.375696347	Cell contribution (adjusted)	-1.097210887	KMT5A
KMT2E	0.041002642	Bulk (unadjusted)	-0.068511762	0.110496253	Cell contribution (adjusted)	-0.259944513	KMT2E
KMT2D	0.119759321	Bulk (unadjusted)	-0.439601519	0.487687891	Cell contribution (adjusted)	-0.931078122	KMT2D
KMT2C	0.663167512	Bulk (unadjusted)	-0.44318018	0.329286024	Cell contribution (adjusted)	-0.275790331	KMT2C
KMT2B	0.017750256	Bulk (unadjusted)	0.128965446	0.041951765	Cell contribution (adjusted)	-0.234261707	KMT2B
KMT2A	0.218756463	Bulk (unadjusted)	-0.229723977	0.205543378	Cell contribution (adjusted)	-0.343652759	KMT2A
KMO	5.048582386	Bulk (unadjusted)	1.396894508	2.918827782	Cell contribution (adjusted)	1.006133007	KMO
KLRG2	0.004590115	Bulk (unadjusted)	-0.012550393	0.028009247	Cell contribution (adjusted)	0.049271216	KLRG2
KLRG1	0.314350651	Bulk (unadjusted)	0.761005922	0.101829676	Cell contribution (adjusted)	0.284651193	KLRG1
KLRF2	0.599015258	Bulk (unadjusted)	0.526164287	0.217698869	Cell contribution (adjusted)	0.258953973	KLRF2
KLRF1	2.924923131	Bulk (unadjusted)	0.996703982	1.988333972	Cell contribution (adjusted)	0.808815541	KLRF1
KLRD1	1.057676444	Bulk (unadjusted)	1.185312097	0.637647497	Cell contribution (adjusted)	0.45500026	KLRD1
KLRC4	0.110198133	Bulk (unadjusted)	0.273761795	0.07507853	Cell contribution (adjusted)	0.156164611	KLRC4
KLRC3	0.258250451	Bulk (unadjusted)	0.390554117	0.105546857	Cell contribution (adjusted)	0.187403657	KLRC3
KLRC2	1.644912332	Bulk (unadjusted)	0.922796362	0.761092028	Cell contribution (adjusted)	0.58264309	KLRC2
KLRC1	1.576135001	Bulk (unadjusted)	0.901144101	0.50662187	Cell contribution (adjusted)	0.453839271	KLRC1
KLRB1	1.187415631	Bulk (unadjusted)	1.41694774	2.155235779	Cell contribution (adjusted)	0.86795384	KLRB1
KLLN	0.528021802	Bulk (unadjusted)	-0.901684808	4.168397548	Cell contribution (adjusted)	-1.257183474	KLLN
KLKB1	0.485700218	Bulk (unadjusted)	-0.511533586	0.488608023	Cell contribution (adjusted)	-0.836793063	KLKB1
KLK15	0.009003169	Bulk (unadjusted)	0.059461465	0.193461028	Cell contribution (adjusted)	-0.316703834	KLK15
KLK14	0.02326909	Bulk (unadjusted)	0.086782477	0.727347086	Cell contribution (adjusted)	-0.764646912	KLK14
KLK13	0.094152259	Bulk (unadjusted)	-0.343206033	1.277363103	Cell contribution (adjusted)	-1.094336897	KLK13
KLK12	0.074764962	Bulk (unadjusted)	0.384795915	0.110496253	Cell contribution (adjusted)	-0.216859592	KLK12
KLK11	0.108038846	Bulk (unadjusted)	-0.140304019	0.0710665	Cell contribution (adjusted)	-0.0866659	KLK11
KLK10	0.060569584	Bulk (unadjusted)	0.192764559	0.023113988	Cell contribution (adjusted)	-0.043607788	KLK10
KLK9	0.010228006	Bulk (unadjusted)	0.035264027	0.315126657	Cell contribution (adjusted)	-1.724431136	KLK9
KLK8	0.082192115	Bulk (unadjusted)	0.138733172	0.024778624	Cell contribution (adjusted)	0.03980074	KLK8
KLK7	0.055079609	Bulk (unadjusted)	0.196800388	0.06423951	Cell contribution (adjusted)	-0.197752569	KLK7
KLK6	0.04703906	Bulk (unadjusted)	-0.124691154	0.062355144	Cell contribution (adjusted)	-0.13046228	KLK6
KLK5	0.327367101	Bulk (unadjusted)	0.295973831	0.153988017	Cell contribution (adjusted)	-0.287218155	KLK5
KLK4	0.085790504	Bulk (unadjusted)	-0.309774347	2.520477749	Cell contribution (adjusted)	-0.917092071	KLK4
KLK3	0.162786068	Bulk (unadjusted)	-0.314391332	0.511599891	Cell contribution (adjusted)	-0.613707864	KLK3
KLK2	0.402137546	Bulk (unadjusted)	-0.338717469	0.861962188	Cell contribution (adjusted)	-0.501668436	KLK2
KLK1	0.175615879	Bulk (unadjusted)	0.24859614	0.320622372	Cell contribution (adjusted)	-0.729256261	KLK1
KLHL42	1.064160304	Bulk (unadjusted)	0.590322473	0.307080993	Cell contribution (adjusted)	0.398693147	KLHL42
KLHL41	1.239159477	Bulk (unadjusted)	-0.625827283	0.824141915	Cell contribution (adjusted)	-1.126215261	KLHL41
KLHL40	0.108525996	Bulk (unadjusted)	-0.233436214	0.419660351	Cell contribution (adjusted)	-1.103210413	KLHL40
KLHL38	0.934425143	Bulk (unadjusted)	-0.67441218	0.57602201	Cell contribution (adjusted)	-0.491065338	KLHL38
KLHL36	0.717913545	Bulk (unadjusted)	-0.782098538	0.188172173	Cell contribution (adjusted)	-0.352991659	KLHL36
KLHL35	0.026294104	Bulk (unadjusted)	-0.047275252	0.214107162	Cell contribution (adjusted)	-0.388032142	KLHL35
KLHL34	0.79446399	Bulk (unadjusted)	-0.489892411	1.374259291	Cell contribution (adjusted)	-0.654467606	KLHL34
KLHL33	3.306803058	Bulk (unadjusted)	-1.36948342	2.952522888	Cell contribution (adjusted)	-1.286248037	KLHL33
KLHL32	0.29813275	Bulk (unadjusted)	-0.278144422	0.164130559	Cell contribution (adjusted)	-0.168190198	KLHL32
KLHL31	0.940007579	Bulk (unadjusted)	-0.771047001	2.068718409	Cell contribution (adjusted)	-0.83165998	KLHL31
KLHL30	5.390076366	Bulk (unadjusted)	-1.877915251	3.328146968	Cell contribution (adjusted)	-1.388570216	KLHL30
KLHL29	4.922037489	Bulk (unadjusted)	-1.963366461	2.85839633	Cell contribution (adjusted)	-1.57946062	KLHL29
KLHL28	0.081347514	Bulk (unadjusted)	0.245928087	1.453193022	Cell contribution (adjusted)	0.676980146	KLHL28
KLHL26	0.433815639	Bulk (unadjusted)	-0.839027848	0.217509764	Cell contribution (adjusted)	-0.518366798	KLHL26
KLHL25	0.054001339	Bulk (unadjusted)	-0.2116525	2.938164296	Cell contribution (adjusted)	-1.010092293	KLHL25
KLHL24	1.256207979	Bulk (unadjusted)	-0.629431295	1.086853535	Cell contribution (adjusted)	-0.572969059	KLHL24
KLHL22	0.050145409	Bulk (unadjusted)	-0.237006194	0.351013371	Cell contribution (adjusted)	-0.773133515	KLHL22
KLHL21	0.641095844	Bulk (unadjusted)	-2.091994064	0.506702855	Cell contribution (adjusted)	-1.749314624	KLHL21
KLHL20	0.141124777	Bulk (unadjusted)	-0.328870297	0.177030494	Cell contribution (adjusted)	0.350616405	KLHL20
KLHL18	0.37667208	Bulk (unadjusted)	0.320326513	0.013960017	Cell contribution (adjusted)	-0.019275419	KLHL18
KLHL17	0.046987608	Bulk (unadjusted)	0.136922323	0.688655175	Cell contribution (adjusted)	-0.436348503	KLHL17
KLHL15	0.054001339	Bulk (unadjusted)	-0.263785218	0.458903091	Cell contribution (adjusted)	0.449444615	KLHL15
KLHL14	0.186469832	Bulk (unadjusted)	0.300809242	0.100672603	Cell contribution (adjusted)	-0.181599757	KLHL14
KLHL13	0.89786339	Bulk (unadjusted)	-1.046778364	0.005760127	Cell contribution (adjusted)	0.014831139	KLHL13
KLHL12	0.785330887	Bulk (unadjusted)	0.786303497	2.825890445	Cell contribution (adjusted)	1.069114154	KLHL12
KLHL11	0.162667651	Bulk (unadjusted)	0.228692421	0.055217975	Cell contribution (adjusted)	-0.189710977	KLHL11
KLHL10	0.798760881	Bulk (unadjusted)	-0.587818651	1.258044574	Cell contribution (adjusted)	-0.620935948	KLHL10
KLHL9	0.093799104	Bulk (unadjusted)	0.304148492	3.705764256	Cell contribution (adjusted)	1.161312755	KLHL9
KLHL8	0.066559682	Bulk (unadjusted)	0.129178505	0.601887757	Cell contribution (adjusted)	0.402299709	KLHL8
KLHL7	0.093415022	Bulk (unadjusted)	-0.151005132	0.264094244	Cell contribution (adjusted)	0.272207903	KLHL7
KLHL6	1.442063876	Bulk (unadjusted)	1.704048046	1.118486721	Cell contribution (adjusted)	0.998496884	KLHL6
KLHL5	0.226895028	Bulk (unadjusted)	0.633109886	0.58906811	Cell contribution (adjusted)	0.833294716	KLHL5
KLHL4	0.011957908	Bulk (unadjusted)	-0.05346148	0.077820436	Cell contribution (adjusted)	-0.196130446	KLHL4
KLHL3	0.199024815	Bulk (unadjusted)	-0.266587303	0.190410254	Cell contribution (adjusted)	-0.228385826	KLHL3
KLHL2	0.333751782	Bulk (unadjusted)	1.190582781	0.623854834	Cell contribution (adjusted)	1.343643476	KLHL2
KLHL1	0.348822073	Bulk (unadjusted)	0.511672834	0.205938068	Cell contribution (adjusted)	0.330999349	KLHL1
KLHDC10	0.046987608	Bulk (unadjusted)	-0.194211207	0.829165655	Cell contribution (adjusted)	0.48790614	KLHDC10
KLHDC9	0.630928129	Bulk (unadjusted)	-0.902467089	0.371392097	Cell contribution (adjusted)	-0.459586987	KLHDC9
KLHDC8B	0.003341357	Bulk (unadjusted)	0.020807911	0.255465602	Cell contribution (adjusted)	-0.515659596	KLHDC8B
KLHDC8A	0.128154421	Bulk (unadjusted)	0.202557509	0.246731873	Cell contribution (adjusted)	-0.388506259	KLHDC8A
KLHDC7B	2.244424866	Bulk (unadjusted)	0.978154938	1.306912133	Cell contribution (adjusted)	0.63627659	KLHDC7B
KLHDC7A	0.612813032	Bulk (unadjusted)	-0.424543958	0.422424454	Cell contribution (adjusted)	-0.322757274	KLHDC7A
KLHDC4	0.081065304	Bulk (unadjusted)	0.251841248	0.235702068	Cell contribution (adjusted)	-0.610645217	KLHDC4
KLHDC3	0.877279223	Bulk (unadjusted)	-0.697303571	1.329737478	Cell contribution (adjusted)	-1.350209285	KLHDC3
KLHDC2	0.407439234	Bulk (unadjusted)	-0.715559659	0.103636758	Cell contribution (adjusted)	-0.118418268	KLHDC2
KLHDC1	0.265282114	Bulk (unadjusted)	-0.259150247	0.155010111	Cell contribution (adjusted)	0.20394104	KLHDC1
KLF17	0.055079609	Bulk (unadjusted)	-0.144808303	0.166611903	Cell contribution (adjusted)	-0.266284699	KLF17
KLF16	0.035848772	Bulk (unadjusted)	0.164111816	1.114426979	Cell contribution (adjusted)	-0.578663425	KLF16
KLF15	2.015165716	Bulk (unadjusted)	-1.173090773	4.645642864	Cell contribution (adjusted)	-1.353687141	KLF15
KLF14	2.656439759	Bulk (unadjusted)	-0.944748608	1.418486596	Cell contribution (adjusted)	-0.665131481	KLF14
KLF13	0.13294556	Bulk (unadjusted)	0.357654712	0.357075106	Cell contribution (adjusted)	0.915415005	KLF13
KLF12	0.050144662	Bulk (unadjusted)	-0.079165244	0.238351377	Cell contribution (adjusted)	0.220731147	KLF12
KLF11	0.56095595	Bulk (unadjusted)	-0.65300972	0.110496253	Cell contribution (adjusted)	0.130149399	KLF11
KLF10	0.318993674	Bulk (unadjusted)	-0.603290805	0.113378549	Cell contribution (adjusted)	-0.263362732	KLF10
KLF9	3.347873368	Bulk (unadjusted)	-1.085945407	1.115481496	Cell contribution (adjusted)	-0.583595306	KLF9
KLF8	2.641293647	Bulk (unadjusted)	-0.943121604	0.194282347	Cell contribution (adjusted)	-0.273217586	KLF8
KLF7	0.139558975	Bulk (unadjusted)	-0.265567202	0.135501201	Cell contribution (adjusted)	0.26901431	KLF7
KLF6	0.060598536	Bulk (unadjusted)	0.103120115	0.014997344	Cell contribution (adjusted)	0.030044042	KLF6
KLF5	0.177803599	Bulk (unadjusted)	-0.2944511	0.096080941	Cell contribution (adjusted)	-0.212643011	KLF5
KLF4	0.490029416	Bulk (unadjusted)	-0.375788162	0.85178284	Cell contribution (adjusted)	0.494777066	KLF4
KLF3	0.063466363	Bulk (unadjusted)	0.143691929	3.799168973	Cell contribution (adjusted)	1.180746367	KLF3
KLF2	0.136801319	Bulk (unadjusted)	-0.255343823	0.487475285	Cell contribution (adjusted)	-0.353251473	KLF2
KLF1	0.38871645	Bulk (unadjusted)	0.549339213	0.028731417	Cell contribution (adjusted)	-0.092952493	KLF1
KLC4	0.677765909	Bulk (unadjusted)	-0.879451249	0.380959828	Cell contribution (adjusted)	-0.70525513	KLC4
KLC3	0.008679784	Bulk (unadjusted)	-0.017276442	0.375953449	Cell contribution (adjusted)	-0.299013533	KLC3
KLC2	0.042527441	Bulk (unadjusted)	-0.21337209	0.082653223	Cell contribution (adjusted)	-0.28560894	KLC2
KLC1	1.009101157	Bulk (unadjusted)	-1.010217233	0.44178534	Cell contribution (adjusted)	-0.61460836	KLC1
KLB	5.117311769	Bulk (unadjusted)	-1.404420416	1.348646391	Cell contribution (adjusted)	-0.679525922	KLB
KL	0.777988974	Bulk (unadjusted)	-0.485291858	0.036481248	Cell contribution (adjusted)	0.117276995	KL
KIZ	0.487817099	Bulk (unadjusted)	-0.915240183	0.57485539	Cell contribution (adjusted)	-0.676579275	KIZ
KITLG	0.045973853	Bulk (unadjusted)	0.0738438	0.036194389	Cell contribution (adjusted)	-0.077444471	KITLG
KIT	0.369958526	Bulk (unadjusted)	-0.57283065	0.015534044	Cell contribution (adjusted)	-0.023662733	KIT
KISS1R	0.898159447	Bulk (unadjusted)	0.904499604	0.155859443	Cell contribution (adjusted)	0.2692095	KISS1R
KISS1	0.15515073	Bulk (unadjusted)	-0.303516578	0.722989681	Cell contribution (adjusted)	-0.771315465	KISS1
KIRREL3	0.32938781	Bulk (unadjusted)	-0.295309481	0.130080058	Cell contribution (adjusted)	-0.140567327	KIRREL3
